Objective,AvgSim_Nodes,BestLO_Nodes,Global_Nodes,AvgSim_Edges,BestLO_Edges,Global_Edges
50599,0.689782,0.680672,0.652893,0.258758,0.30719,0.290323
47669,0.68602,0.724138,0.709402,0.275611,0.369863,0.290323
49817,0.691177,0.709402,0.666667,0.268232,0.315789,0.315789
47675,0.718437,0.785714,0.666667,0.28821,0.37931,0.242236
50526,0.69984,0.724138,0.652893,0.250581,0.30719,0.242236
50056,0.739186,0.73913,0.694915,0.277058,0.30719,0.298701
48545,0.73061,0.754386,0.680672,0.288611,0.351351,0.290323
47799,0.740629,0.754386,0.694915,0.306476,0.41844,0.257862
49875,0.727309,0.680672,0.652893,0.270407,0.315789,0.219512
47850,0.711689,0.754386,0.680672,0.271072,0.333333,0.298701
47448,0.705492,0.785714,0.724138,0.282155,0.351351,0.30719
51596,0.707377,0.694915,0.652893,0.248147,0.25,0.290323
49258,0.710763,0.724138,0.666667,0.280688,0.273885,0.234568
48927,0.700511,0.724138,0.639344,0.259816,0.273885,0.242236
48154,0.721892,0.785714,0.709402,0.277767,0.351351,0.265823
48717,0.708225,0.754386,0.666667,0.289316,0.369863,0.242236
49946,0.676374,0.680672,0.680672,0.233724,0.265823,0.234568
48324,0.708452,0.754386,0.694915,0.2681,0.342282,0.257862
48578,0.722892,0.724138,0.666667,0.292214,0.360544,0.257862
50832,0.663115,0.652893,0.639344,0.250022,0.265823,0.242236
49195,0.7044,0.694915,0.680672,0.285929,0.30719,0.298701
49375,0.711791,0.724138,0.587302,0.28125,0.265823,0.219512
50046,0.687374,0.73913,0.639344,0.250514,0.324503,0.25
48922,0.713087,0.724138,0.666667,0.273441,0.324503,0.290323
49785,0.706996,0.724138,0.666667,0.257651,0.360544,0.25
47879,0.704454,0.754386,0.680672,0.272623,0.30719,0.315789
48103,0.716992,0.73913,0.694915,0.280344,0.360544,0.324503
49888,0.707639,0.724138,0.626016,0.256049,0.273885,0.226994
46945,0.719672,0.785714,0.754386,0.293218,0.408451,0.360544
48469,0.712684,0.73913,0.694915,0.266008,0.290323,0.273885
48491,0.733538,0.724138,0.680672,0.275777,0.324503,0.234568
47418,0.728705,0.754386,0.694915,0.304385,0.41844,0.324503
47195,0.690263,0.724138,0.724138,0.270476,0.351351,0.388889
50395,0.712623,0.694915,0.652893,0.293728,0.342282,0.257862
47709,0.729459,0.73913,0.73913,0.301095,0.351351,0.273885
49976,0.698763,0.680672,0.612903,0.2828,0.342282,0.219512
51713,0.679278,0.652893,0.639344,0.248532,0.265823,0.265823
49172,0.681055,0.73913,0.694915,0.257701,0.290323,0.265823
48771,0.687727,0.724138,0.666667,0.258604,0.324503,0.282051
48436,0.690687,0.724138,0.694915,0.255955,0.342282,0.282051
47301,0.734046,0.785714,0.754386,0.271395,0.315789,0.342282
48538,0.721092,0.785714,0.73913,0.287247,0.369863,0.298701
48673,0.731905,0.769912,0.694915,0.289263,0.342282,0.30719
