Objective,AvgSim_Nodes,BestLO_Nodes,Global_Nodes,AvgSim_Edges,BestLO_Edges,Global_Edges
74002,0.795938,0.769912,0.709402,0.301275,0.282051,0.273885
74390,0.78803,0.754386,0.709402,0.317136,0.273885,0.298701
74217,0.7815,0.801802,0.73913,0.306104,0.298701,0.315789
76722,0.783373,0.785714,0.694915,0.286952,0.369863,0.30719
75634,0.789199,0.769912,0.724138,0.286462,0.257862,0.25
73939,0.794019,0.754386,0.73913,0.308294,0.315789,0.333333
74474,0.809519,0.801802,0.724138,0.304738,0.282051,0.351351
73305,0.804024,0.769912,0.709402,0.342515,0.360544,0.342282
75646,0.758137,0.694915,0.694915,0.286556,0.257862,0.290323
73250,0.786227,0.801802,0.785714,0.306859,0.315789,0.324503
72673,0.805097,0.818182,0.785714,0.2936,0.388889,0.369863
74622,0.757626,0.769912,0.769912,0.266904,0.234568,0.315789
79316,0.73485,0.73913,0.680672,0.288277,0.298701,0.30719
75501,0.785105,0.769912,0.73913,0.302929,0.315789,0.342282
75801,0.785121,0.769912,0.709402,0.29636,0.298701,0.265823
74159,0.786618,0.754386,0.73913,0.318555,0.360544,0.398601
73274,0.796843,0.818182,0.785714,0.332003,0.342282,0.449275
73740,0.746975,0.785714,0.785714,0.278435,0.342282,0.30719
73321,0.799495,0.769912,0.754386,0.320073,0.282051,0.360544
74874,0.763728,0.724138,0.709402,0.275538,0.234568,0.265823
75934,0.796774,0.785714,0.73913,0.290181,0.273885,0.273885
76185,0.773581,0.73913,0.709402,0.276015,0.273885,0.273885
73514,0.759102,0.769912,0.785714,0.276202,0.282051,0.324503
75144,0.794445,0.769912,0.694915,0.289728,0.298701,0.212121
74986,0.800969,0.785714,0.694915,0.292291,0.333333,0.273885
75059,0.795516,0.73913,0.680672,0.321502,0.315789,0.324503
74616,0.788873,0.769912,0.73913,0.286748,0.257862,0.257862
74884,0.795412,0.818182,0.754386,0.300188,0.333333,0.315789
73641,0.78998,0.801802,0.73913,0.315502,0.315789,0.333333
73662,0.790374,0.818182,0.769912,0.292332,0.37931,0.360544
75236,0.774386,0.73913,0.709402,0.281444,0.290323,0.226994
72820,0.802166,0.785714,0.73913,0.327338,0.315789,0.360544
72408,0.799672,0.818182,0.801802,0.315001,0.342282,0.37931
73450,0.766668,0.769912,0.709402,0.29955,0.333333,0.265823
73191,0.815517,0.785714,0.769912,0.316104,0.273885,0.315789
73612,0.792958,0.769912,0.754386,0.311993,0.333333,0.324503
73283,0.79488,0.785714,0.785714,0.29062,0.290323,0.324503
74093,0.790788,0.724138,0.709402,0.298543,0.298701,0.315789
74166,0.779921,0.709402,0.709402,0.312324,0.273885,0.282051
74086,0.815153,0.818182,0.73913,0.318338,0.290323,0.298701
74798,0.78251,0.834862,0.754386,0.310366,0.360544,0.333333
74678,0.78992,0.769912,0.769912,0.275309,0.30719,0.298701
73461,0.786125,0.769912,0.785714,0.308614,0.342282,0.333333
72974,0.796309,0.801802,0.73913,0.315072,0.408451,0.369863
74049,0.777113,0.801802,0.754386,0.30156,0.30719,0.351351
75271,0.788846,0.818182,0.73913,0.270985,0.265823,0.265823
73123,0.785624,0.754386,0.769912,0.312687,0.298701,0.342282
73207,0.800588,0.754386,0.73913,0.33142,0.315789,0.342282
76270,0.765299,0.73913,0.769912,0.271894,0.242236,0.226994
72017,0.79163,0.801802,0.801802,0.324557,0.37931,0.37931
73992,0.765147,0.769912,0.754386,0.291761,0.30719,0.282051
74595,0.808864,0.785714,0.754386,0.311091,0.298701,0.298701
72860,0.797003,0.785714,0.73913,0.32687,0.333333,0.315789
74096,0.782251,0.834862,0.769912,0.29509,0.333333,0.324503
73800,0.802723,0.801802,0.73913,0.316092,0.30719,0.324503
76137,0.77651,0.769912,0.709402,0.267027,0.242236,0.25
73104,0.797858,0.834862,0.785714,0.312264,0.315789,0.351351
74280,0.803206,0.769912,0.73913,0.308922,0.282051,0.298701
